Key;Attribute;DefaultLanguage;de-DE
ENUM_PAT_RTR_ANLTYPH.FUSS;Text;Fußbodenheizung;Fußbodenheizung
ENUM_PAT_RTR_DELTASNDSTGR.1;Text;Bei Änderung um 1 %;Bei Änderung um 1 %
ENUM_PAT_RTR_DELTASNDSTGR.2;Text;Bei Änderung um 2 %;Bei Änderung um 2 %
ENUM_PAT_RTR_DELTASNDSTGR.3;Text;Bei Änderung um 3 %;Bei Änderung um 3 %
ENUM_PAT_RTR_DELTASNDSTGR.5;Text;Bei Änderung um 5 %;Bei Änderung um 5 %
ENUM_PAT_RTR_DELTASNDSTGR.7;Text;Bei Änderung um 7 %;Bei Änderung um 7 %
ENUM_PAT_RTR_DELTASNDSTGR.10;Text;Bei Änderung um 10 %;Bei Änderung um 10 %
ENUM_PAT_RTR_DELTASNDSTGR.15;Text;Bei Änderung um 15 %;Bei Änderung um 15 %
ENUM_PAT_RTR_PROZODERPWM.PROZ;Text;Prozent;Prozent
ENUM_PAT_RTR_PROZODERPWM.PWM;Text;PWM;PWM
ENUM_PAT_RTR_DELTAZUSSTUF.0;Text;0 K;0 K
ENUM_PAT_RTR_DELTAZUSSTUF.0_5;Text;0,5 K;0,5 K
ENUM_PAT_RTR_DELTAZUSSTUF.1;Text;1 K;1 K
ENUM_PAT_RTR_DELTAZUSSTUF.1_5;Text;1,5 K;1,5 K
ENUM_PAT_RTR_DELTAZUSSTUF.2;Text;2 K;2 K
ENUM_PAT_RTR_DELTAZUSSTUF.2_5;Text;2,5 K;2,5 K
ENUM_PAT_RTR_DELTAZUSSTUF.3;Text;3 K;3 K
ENUM_PAT_RTR_DELTAZUSSTUF.3_5;Text;3,5 K;3,5 K
ENUM_PAT_RTR_DELTAZUSSTUF.4;Text;4 K;4 K
ENUM_PAT_RTR_ANZKSTUF.EINE;Text;Nur eine Kühlstufe;Nur eine Kühlstufe
ENUM_PAT_RTR_ANZKSTUF.ZWEI;Text;Hauptstufe und Zusatzstufe;Hauptstufe und Zusatzstufe
ENUM_PAT_RTR_ANLTYPK.DECK;Text;Kühldecke;Kühldecke
ENUM_PAT_RTR_ANLTYPK.FANC;Text;Fan Coil Unit;Fan Coil Unit
ENUM_PAT_RTR_UMSCHHK.AUT;Text;Automatisch;Automatisch
ENUM_PAT_RTR_UMSCHHK.OBJ;Text;Über Objekt;Über Objekt
ENUM_PAT_RTR_FORMTHKOBJ.DPT;Text;DPT1.100 (Heizen=1 / Kühlen=0);DPT1.100 (Heizen=1 / Kühlen=0)
ENUM_PAT_RTR_FORMTHKOBJ.ALT;Text;Invertiert (Heizen=0 / Kühlen=1);Invertiert (Heizen=0 / Kühlen=1)
ENUM_PAT_RTR_AUSGSTGRK.SEP;Text;Auf separatem Obj. (4-Rohr-Systeme);Auf separatem Obj. (4-Rohr-Systeme)
ENUM_PAT_RTR_AUSGSTGRK.GEM;Text;Gemeinsam mit Stellgr. Heizen (2-Rohr-Systeme);Gemeinsam mit Stellgr. Heizen (2-Rohr-Systeme)
ENUM_PAT_BM_ANZAHLTELEGRAMME.EINS;Text;Ein Telegramm;Ein Telegramm
ENUM_PAT_BM_ANZAHLTELEGRAMME.ZWEI;Text;Zwei Telegramme;Zwei Telegramme
ENUM_PAT_BM_ANZAHLTELEGRAMME.DREI;Text;Drei Telegramme;Drei Telegramme
ENUM_PAT_BM_FUNKTI12.SW;Text;Schalter;Schalter
ENUM_PAT_BM_FUNKTI12.TAST;Text;Taster;Taster
ENUM_PAT_BM_FUNKTI12.DIM;Text;Dimmen;Dimmen
ENUM_PAT_BM_FUNKTI12.JAL;Text;Jalousie;Jalousie
ENUM_PAT_BM_TEMPSENSOR_I3.NTC;Text;Fernfühler 1 (9070191);Fernfühler 1 (9070191)
ENUM_PAT_BM_TEMPSENSOR_I3.RAMSES;Text;Fernfühler IP65 (9070459);Fernfühler IP65 (9070459)
ENUM_PAT_BM_TEMPSENSOR_I4.NTC;Text;Fernfühler 1 (9070191);Fernfühler 1 (9070191)
ENUM_PAT_BM_TEMPSENSOR_I4.RAMSES;Text;Fernfühler IP65 (9070459);Fernfühler IP65 (9070459)
ENUM_PAT_BM_TEMPSENSOR_I4.FLOOR;Text;Fußbodensensor (9070321);Fußbodensensor (9070321)
ENUM_PAT_BM_OBJTYPJAL.SCHALT;Text;Schalten (1 Bit);Schalten (1 Bit)
ENUM_PAT_BM_OBJTYPJAL.PRIO;Text;Priorität (2 Bit);Priorität (2 Bit)
ENUM_PAT_BM_OBJTYPJAL.WERT;Text;Wert 0-255;Wert 0-255
ENUM_PAT_BM_OBJTYPJAL.PROZ;Text;Prozentwert (1 Byte);Prozentwert (1 Byte)
ENUM_PAT_BM_OBJTYPJAL.2BY;Text;2 Byte Gleitkommazahl DPT 9.x;2 Byte Gleitkommazahl DPT 9.x
ENUM_PAT_BM_OBJTYPJAL.4BY;Text;4 Byte Gleitkommazahl DPT 14.x;4 Byte Gleitkommazahl DPT 14.x
ENUM_PAT_BM_OBJTYPJAL.JAL;Text;Höhe % + Lamelle %;Höhe % + Lamelle %
ENUM_PAT_ENUM_EN_DIS.ENABLED;Text;EIN;EIN
ENUM_PAT_ENUM_EN_DIS.DISABLED;Text;AUS;AUS
ENUM_PAT_BM_D_BUSWIEDDKL.KEINE;Text;keine;keine
ENUM_PAT_BM_D_BUSWIEDDKL.SOFORT;Text;wie bei Doppelklick (sofort);wie bei Doppelklick (sofort)
ENUM_PAT_BM_D_BUSWIEDDKL.5S;Text;wie bei Doppelklick (nach 5 s);wie bei Doppelklick (nach 5 s)
ENUM_PAT_BM_D_BUSWIEDDKL.10S;Text;wie bei Doppelklick (nach 10 s);wie bei Doppelklick (nach 10 s)
ENUM_PAT_BM_D_BUSWIEDDKL.15S;Text;wie bei Doppelklick (nach 15 s);wie bei Doppelklick (nach 15 s)
ENUM_PAT_BM_D_REAKBUSWIED.KEINE;Text;keine;keine
ENUM_PAT_BM_D_REAKBUSWIED.EIN;Text;EIN;EIN
ENUM_PAT_BM_D_REAKBUSWIED.AUS;Text;AUS;AUS
ENUM_PAT_BM_D_REAKBUSWIED.5SEIN;Text;nach 5 s EIN;nach 5 s EIN
ENUM_PAT_BM_D_REAKBUSWIED.10SEIN;Text;nach 10 s EIN;nach 10 s EIN
ENUM_PAT_BM_D_REAKBUSWIED.15SEIN;Text;nach 15 s EIN;nach 15 s EIN
ENUM_PAT_BM_D_REAKBUSWIED.5SAUS;Text;nach 5 s AUS;nach 5 s AUS
ENUM_PAT_BM_D_REAKBUSWIED.10SAUS;Text;nach 10 s AUS;nach 10 s AUS
ENUM_PAT_BM_D_REAKBUSWIED.15SAUS;Text;nach 15 s AUS;nach 15 s AUS
ENUM_PAT_BM_D_REAKLANGKURZ.1FLAECH;Text;Eintastenbedienung;Eintastenbedienung
ENUM_PAT_BM_D_REAKLANGKURZ.HELLEIN;Text;heller / EIN;heller / EIN
ENUM_PAT_BM_D_REAKLANGKURZ.HELLUM;Text;heller / UM;heller / UM
ENUM_PAT_BM_D_REAKLANGKURZ.DUNKLAUS;Text;dunkler / AUS;dunkler / AUS
ENUM_PAT_BM_D_REAKLANGKURZ.DUNKLUM;Text;dunkler / UM;dunkler / UM
ENUM_PAT_BM_D_SCHRITTWEITE.100;Text;100 %;100 %
ENUM_PAT_BM_D_SCHRITTWEITE.50;Text;50 %;50 %
ENUM_PAT_BM_D_SCHRITTWEITE.25;Text;25 %;25 %
ENUM_PAT_BM_D_SCHRITTWEITE.12;Text;12,5 %;12,5 %
ENUM_PAT_BM_D_SCHRITTWEITE.6;Text;6 %;6 %
ENUM_PAT_BM_D_SCHRITTWEITE.3;Text;3 %;3 %
ENUM_PAT_BM_D_SCHRITTWEITE.1;Text;1,5 %;1,5 %
ENUM_PAT_BM_D_SPERRAUS.KEIN;Text;Keine Reaktion;Keine Reaktion
ENUM_PAT_BM_D_SPERRAUS.EIN;Text;EIN;EIN
ENUM_PAT_BM_D_SPERRAUS.AUS;Text;AUS;AUS
ENUM_PAT_BM_D_SPERRAUSDKL.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_D_SPERRAUSDKL.DOPKL;Text;wie bei Doppelklick;wie bei Doppelklick
ENUM_PAT_BM_D_SPERREIN.IGNOR;Text;Sperre ignorieren;Sperre ignorieren
ENUM_PAT_BM_D_SPERREIN.KEIN;Text;Keine Reaktion;Keine Reaktion
ENUM_PAT_BM_D_SPERREIN.EIN;Text;EIN;EIN
ENUM_PAT_BM_D_SPERREIN.AUS;Text;AUS;AUS
ENUM_PAT_BM_D_SPERREINDKL.IGNOR;Text;Sperre ignorieren;Sperre ignorieren
ENUM_PAT_BM_D_SPERREINDKL.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_D_SPERREINDKL.DOPKL;Text;wie bei Doppelklick;wie bei Doppelklick
ENUM_PAT_BM_ENTPREL.30MS;Text;30 ms;30 ms
ENUM_PAT_BM_ENTPREL.50MS;Text;50 ms;50 ms
ENUM_PAT_BM_ENTPREL.80MS;Text;80 ms;80 ms
ENUM_PAT_BM_ENTPREL.100MS;Text;100 ms;100 ms
ENUM_PAT_BM_ENTPREL.200MS;Text;200 ms;200 ms
ENUM_PAT_BM_ENTPREL.1S;Text;1 s ;1 s 
ENUM_PAT_BM_ENTPREL.5S;Text;5 s;5 s
ENUM_PAT_BM_ENTPREL.10S;Text;10 s;10 s
ENUM_PAT_BM_J_BEDIEN.EINFBED;Text;Einflächenbedienung;Einflächenbedienung
ENUM_PAT_BM_J_BEDIEN.AB;Text;AB;AB
ENUM_PAT_BM_J_BEDIEN.AUF;Text;AUF;AUF
ENUM_PAT_BM_J_BUSWIEDDKL.KEIN;Text;keine;keine
ENUM_PAT_BM_J_BUSWIEDDKL.0S;Text;wie bei Doppelklick (sofort);wie bei Doppelklick (sofort)
ENUM_PAT_BM_J_BUSWIEDDKL.5S;Text;wie bei Doppelklick (nach 5 s);wie bei Doppelklick (nach 5 s)
ENUM_PAT_BM_J_BUSWIEDDKL.10S;Text;wie bei Doppelklick (nach 10 s);wie bei Doppelklick (nach 10 s)
ENUM_PAT_BM_J_BUSWIEDDKL.15S;Text;wie bei Doppelklick (nach 15 s);wie bei Doppelklick (nach 15 s)
ENUM_PAT_BM_J_REAKBUSWIED.KEIN;Text;keine;keine
ENUM_PAT_BM_J_REAKBUSWIED.AUF;Text;AUF;AUF
ENUM_PAT_BM_J_REAKBUSWIED.AB;Text;AB;AB
ENUM_PAT_BM_J_REAKBUSWIED.5SAUF;Text;nach 5 s AUF;nach 5 s AUF
ENUM_PAT_BM_J_REAKBUSWIED.10SAUF;Text;nach 10 s AUF;nach 10 s AUF
ENUM_PAT_BM_J_REAKBUSWIED.15SAUF;Text;nach 15 s AUF;nach 15 s AUF
ENUM_PAT_BM_J_REAKBUSWIED.5SAB;Text;nach 5 s AB;nach 5 s AB
ENUM_PAT_BM_J_REAKBUSWIED.10SAB;Text;nach 10 s AB;nach 10 s AB
ENUM_PAT_BM_J_REAKBUSWIED.15SAB;Text;nach 15 s AB;nach 15 s AB
ENUM_PAT_BM_J_SPERRAUS.KEIN;Text;Keine Reaktion;Keine Reaktion
ENUM_PAT_BM_J_SPERRAUS.AUF;Text;AUF;AUF
ENUM_PAT_BM_J_SPERRAUS.AB;Text;AB;AB
ENUM_PAT_BM_J_SPERRAUSDKL.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_J_SPERRAUSDKL.DOPKL;Text;wie bei Doppelklick;wie bei Doppelklick
ENUM_PAT_BM_J_SPERREIN.IGNOR;Text;Sperre ignorieren;Sperre ignorieren
ENUM_PAT_BM_J_SPERREIN.KEIN;Text;Keine Reaktion;Keine Reaktion
ENUM_PAT_BM_J_SPERREIN.AUF;Text;AUF;AUF
ENUM_PAT_BM_J_SPERREIN.AB;Text;AB;AB
ENUM_PAT_BM_J_SPERREINDKL.IGNOR;Text;Sperre ignorieren;Sperre ignorieren
ENUM_PAT_BM_J_SPERREINDKL.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_J_SPERREINDKL.DOPKL;Text;wie bei Doppelklick;wie bei Doppelklick
ENUM_PAT_BM_J_STOPMIT.LOSLAS;Text;Loslassen der Taste;Loslassen der Taste
ENUM_PAT_BM_J_STOPMIT.KURZ;Text;Kurze Bedienung;Kurze Bedienung
ENUM_PAT_BM_LANGDRCK.300MS;Text;300 ms;300 ms
ENUM_PAT_BM_LANGDRCK.400MS;Text;400 ms;400 ms
ENUM_PAT_BM_LANGDRCK.500MS;Text;500 ms;500 ms
ENUM_PAT_BM_LANGDRCK.600MS;Text;600 ms;600 ms
ENUM_PAT_BM_LANGDRCK.700MS;Text;700 ms;700 ms
ENUM_PAT_BM_LANGDRCK.800MS;Text;800 ms;800 ms
ENUM_PAT_BM_LANGDRCK.900MS;Text;900 ms;900 ms
ENUM_PAT_BM_LANGDRCK.1S;Text;1 s;1 s
ENUM_PAT_BM_OBJTYP.SCHALT;Text;Schalten (1 Bit);Schalten (1 Bit)
ENUM_PAT_BM_OBJTYP.PRIO;Text;Priorität (2 Bit);Priorität (2 Bit)
ENUM_PAT_BM_OBJTYP.WERT;Text;Wert 0-255;Wert 0-255
ENUM_PAT_BM_OBJTYP.PROZ;Text;Prozentwert (1 Byte);Prozentwert (1 Byte)
ENUM_PAT_BM_OBJTYP.2BY;Text;2 Byte Gleitkommazahl DPT 9.x;2 Byte Gleitkommazahl DPT 9.x
ENUM_PAT_BM_OBJTYP.4BY;Text;4 Byte Gleitkommazahl DPT 14.x;4 Byte Gleitkommazahl DPT 14.x
ENUM_PAT_BM_S_BUSWIED.KEIN;Text;Keine;Keine
ENUM_PAT_BM_S_BUSWIED.0S;Text;Aktualisieren (sofort);Aktualisieren (sofort)
ENUM_PAT_BM_S_BUSWIED.5S;Text;Aktualisieren (nach 5 s);Aktualisieren (nach 5 s)
ENUM_PAT_BM_S_BUSWIED.10S;Text;Aktualisieren (nach 10 s);Aktualisieren (nach 10 s)
ENUM_PAT_BM_S_BUSWIED.15S;Text;Aktualisieren (nach 15 s);Aktualisieren (nach 15 s)
ENUM_PAT_BM_S_SPERRAUS.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_S_SPERRAUS.AKTU;Text;aktualisieren;aktualisieren
ENUM_PAT_BM_S_SPERREIN.IGNOR;Text;Sperre ignorieren;Sperre ignorieren
ENUM_PAT_BM_S_SPERREIN.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_S_SPERREIN.WIE1;Text;Wie bei Eingang = 1;Wie bei Eingang = 1
ENUM_PAT_BM_S_SPERREIN.WIE0;Text;Wie bei Eingang = 0;Wie bei Eingang = 0
ENUM_PAT_BM_S_ZYKSND.NEIN;Text;Nein;Nein
ENUM_PAT_BM_S_ZYKSND.JA;Text;Ja, immer;Ja, immer
ENUM_PAT_BM_S_ZYKSND.NUR1;Text;Nur wenn Eingang = 1;Nur wenn Eingang = 1
ENUM_PAT_BM_S_ZYKSND.NUR0;Text;Nur wenn Eingang = 0;Nur wenn Eingang = 0
ENUM_PAT_BM_SCHLIOEFFNR.SCHLI;Text;Schließer;Schließer
ENUM_PAT_BM_SCHLIOEFFNR.OEFFN;Text;Öffner;Öffner
ENUM_PAT_BM_T_BUSWIED.KEIN;Text;Keine;Keine
ENUM_PAT_BM_T_BUSWIED.KRZ0S;Text;wie bei kurz (sofort);wie bei kurz (sofort)
ENUM_PAT_BM_T_BUSWIED.KRZ5S;Text;wie bei kurz (nach 5 s);wie bei kurz (nach 5 s)
ENUM_PAT_BM_T_BUSWIED.KRZ10S;Text;wie bei kurz (nach 10 s);wie bei kurz (nach 10 s)
ENUM_PAT_BM_T_BUSWIED.KRZ15S;Text;wie bei kurz (nach 15 s);wie bei kurz (nach 15 s)
ENUM_PAT_BM_T_BUSWIED.LNG0S;Text;wie bei lang (sofort);wie bei lang (sofort)
ENUM_PAT_BM_T_BUSWIED.LNG5S;Text;wie bei lang (nach 5 s);wie bei lang (nach 5 s)
ENUM_PAT_BM_T_BUSWIED.LNG10S;Text;wie bei lang (nach 10 s);wie bei lang (nach 10 s)
ENUM_PAT_BM_T_BUSWIED.LNG15S;Text;wie bei lang (nach 15 s);wie bei lang (nach 15 s)
ENUM_PAT_BM_T_BUSWIED.DKL0S;Text;wie bei Doppelklick (sofort);wie bei Doppelklick (sofort)
ENUM_PAT_BM_T_BUSWIED.DKL5S;Text;wie bei Doppelklick (nach 5 s);wie bei Doppelklick (nach 5 s)
ENUM_PAT_BM_T_BUSWIED.DKL10S;Text;wie bei Doppelklick (nach 10 s);wie bei Doppelklick (nach 10 s)
ENUM_PAT_BM_T_BUSWIED.DKL15S;Text;wie bei Doppelklick (nach 15 s);wie bei Doppelklick (nach 15 s)
ENUM_PAT_BM_T_SPERRAUS.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_T_SPERRAUS.KRZ;Text;wie bei kurz;wie bei kurz
ENUM_PAT_BM_T_SPERRAUS.LNG;Text;wie bei lang;wie bei lang
ENUM_PAT_BM_T_SPERRAUS.DKL;Text;wie bei Doppelklick;wie bei Doppelklick
ENUM_PAT_BM_T_SPERREIN.IGNOR;Text;Sperre ignorieren;Sperre ignorieren
ENUM_PAT_BM_T_SPERREIN.KEIN;Text;keine Reaktion;keine Reaktion
ENUM_PAT_BM_T_SPERREIN.KRZ;Text;wie bei kurz;wie bei kurz
ENUM_PAT_BM_T_SPERREIN.LNG;Text;wie bei lang;wie bei lang
ENUM_PAT_BM_T_SPERREIN.DKL;Text;wie bei Doppelklick;wie bei Doppelklick
ENUM_PAT_BM_ZTDOPLKLIK.300MS;Text;300 ms;300 ms
ENUM_PAT_BM_ZTDOPLKLIK.400MS;Text;400 ms;400 ms
ENUM_PAT_BM_ZTDOPLKLIK.500MS;Text;500 ms;500 ms
ENUM_PAT_BM_ZTDOPLKLIK.600MS;Text;600 ms;600 ms
ENUM_PAT_BM_ZTDOPLKLIK.700MS;Text;700 ms;700 ms
ENUM_PAT_BM_ZTDOPLKLIK.800MS;Text;800 ms;800 ms
ENUM_PAT_BM_ZTDOPLKLIK.900MS;Text;900 ms;900 ms
ENUM_PAT_BM_ZTDOPLKLIK.1S;Text;1 s;1 s
PID_HARDWARE_TYPE_PARAMETER;Text;PID_HARDWARE_TYPE_PARAMETER;
PID_HARDWARE_TYPE_PARAMETER;SuffixText;;
PAR_ALG_DOWNLOAD_KENNNUNG;Text;PAR_ALG_DOWNLOAD_KENNNUNG;
PAR_ALG_DOWNLOAD_KENNNUNG;SuffixText;;
PAR_ALG_LED_HELL;Text;Helligkeit der LEDs reduzieren;Helligkeit der LEDs reduzieren
PAR_ALG_LED_HELL;SuffixText;;
PAR_ALG_LED_REDUZ_OBJECTTYP;Text;Objekttyp;Objekttyp
PAR_ALG_LED_REDUZ_OBJECTTYP;SuffixText;;
PAR_ALG_LED_HELL_RED;Text;Wert für reduzierte Helligkeit;Wert für reduzierte Helligkeit
PAR_ALG_LED_HELL_RED;SuffixText;%;%
PAR_ALG_LED_HELL_RED_UEBERBUS;Text;Wert für reduzierte Helligkeit;Wert für reduzierte Helligkeit
PAR_ALG_LED_HELL_RED_UEBERBUS;SuffixText;%;%
PAR_ALG_I34ANALOG;Text;Funktion der externen Eingänge I3+I4;Funktion der externen Eingänge I3+I4
PAR_ALG_I34ANALOG;SuffixText;;
PAR_MW_DELTATMP;Text;Temperatur senden bei Änderung von (Interner Fühler);Temperatur senden bei Änderung von (Interner Fühler)
PAR_MW_DELTATMP;SuffixText;;
PAR_MW_ZYKSND_TMP;Text;Temperatur zyklisch senden;Temperatur zyklisch senden
PAR_MW_ZYKSND_TMP;SuffixText;;
PAR_MW_TEMPABGL;Text;Temperaturabgleich;Temperaturabgleich
PAR_MW_TEMPABGL;SuffixText;x0,1 K;x0,1 K
PAR_RTR_NURSOLGEB;Text;PAR_RTR_NURSOLGEB;
PAR_RTR_NURSOLGEB;SuffixText;;
PAR_RTR_REGELNG;Text;Regelung;Regelung
PAR_RTR_REGELNG;SuffixText;;
PAR_RTR_ARTREGH;Text;Art der Regelung;Art der Regelung
PAR_RTR_ARTREGH;SuffixText;;
PAR_RTR_ANZHSTUF;Text;Zahl der Heizstufen;Zahl der Heizstufen
PAR_RTR_ANZHSTUF;SuffixText;;
PAR_RTR_ARTREGK;Text;Art der Regelung;Art der Regelung
PAR_RTR_ARTREGK;SuffixText;;
PAR_RTR_ANZKSTUF;Text;Zahl der Kühlstufen;Zahl der Kühlstufen
PAR_RTR_ANZKSTUF;SuffixText;;
PAR_RTR_UMSCHHK;Text;Umschalten zwischen Heizen und Kühlen;Umschalten zwischen Heizen und Kühlen
PAR_RTR_UMSCHHK;SuffixText;;
PAR_RTR_FORMTHKOBJ;Text;Format Objekt Heizen/Kühlen;Format Objekt Heizen/Kühlen
PAR_RTR_FORMTHKOBJ;SuffixText;;
PAR_RTR_AUSGSTGRK;Text;Ausgabe der Stellgröße Kühlen;Ausgabe der Stellgröße Kühlen
PAR_RTR_AUSGSTGRK;SuffixText;;
PAR_RTR_AUSGSTGRK_2PKT;Text;Ausgabe der Stellgröße Kühlen;Ausgabe der Stellgröße Kühlen
PAR_RTR_AUSGSTGRK_2PKT;SuffixText;;
PAR_RTR_FCTRAD;Text;Funktion des Stellrades;Funktion des Stellrades
PAR_RTR_FCTRAD;SuffixText;;
PAR_RTR_BETRARTRST;Text;Betriebsart nach Reset;Betriebsart nach Reset
PAR_RTR_BETRARTRST;SuffixText;;
PAR_RTR_AKTSOLKOMF;Text;Aktueller Sollwert im Komfortbetrieb;Aktueller Sollwert im Komfortbetrieb
PAR_RTR_AKTSOLKOMF;SuffixText;;
PAR_RTR_MANVERSCHWANN;Text;Manuelle Verschiebung wirkt;Manuelle Verschiebung wirkt
PAR_RTR_MANVERSCHWANN;SuffixText;;
PAR_RTR_OBJBETRART;Text;Objekte zur Festlegung der Betriebsart;Objekte zur Festlegung der Betriebsart
PAR_RTR_OBJBETRART;SuffixText;;
PAR_RTR_ARTPRESSENS;Text;Art des Präsenzsensors (Obj. Präsenz);Art des Präsenzsensors (Obj. Präsenz)
PAR_RTR_ARTPRESSENS;SuffixText;;
PAR_RTR_ZTKOMFVERL;Text;Zeit für Komfortverlängerung;Zeit für Komfortverlängerung
PAR_RTR_ZTKOMFVERL;SuffixText;;
PAR_RTR_MANVERSCHNACHT;Text;Manuelle Verschiebung am Ende des Nachtbetriebs;Manuelle Verschiebung am Ende des Nachtbetriebs
PAR_RTR_MANVERSCHNACHT;SuffixText;;
PAR_RTR_FUSSBEGR;Text;Fußbodentemperaturbegrenzung verwenden (Fühler an I4);Fußbodentemperaturbegrenzung verwenden (Fühler an I4)
PAR_RTR_FUSSBEGR;SuffixText;;
PAR_RTR_SRC_ISTW_BM;Text;Quelle für Istwert;Quelle für Istwert
PAR_RTR_SRC_ISTW_BM;SuffixText;;
PAR_RTR_SRC_ISTW;Text;Quelle für Istwert;Quelle für Istwert
PAR_RTR_SRC_ISTW;SuffixText;;
PAR_RTR_ISTW_UEBERWACHEN;Text;Istwert überwachen;Istwert überwachen
PAR_RTR_ISTW_UEBERWACHEN;SuffixText;;
PAR_RTR_SOLANPASS;Text;Sollwertkorrektur bei hohen Außentemperaturen;Sollwertkorrektur bei hohen Außentemperaturen
PAR_RTR_SOLANPASS;SuffixText;;
PAR_RTR_SOLANP;Text;Anpassung;Anpassung
PAR_RTR_SOLANP;SuffixText;;
PAR_RTR_FORMTSOLANP;Text;Format der Sollwertanpassung;Format der Sollwertanpassung
PAR_RTR_FORMTSOLANP;SuffixText;;
PAR_RTR_DELTAISTWREG;Text;Istwert für Regelung senden bei Änderung von;Istwert für Regelung senden bei Änderung von
PAR_RTR_DELTAISTWREG;SuffixText;;
PAR_RTR_ZYKZEITISTWERT;Text;Zyklisch senden;Zyklisch senden
PAR_RTR_ZYKZEITISTWERT;SuffixText;;
PAR_RTR_ZYKZEITISTWERT1;Text;Zyklisch senden;Zyklisch senden
PAR_RTR_ZYKZEITISTWERT1;SuffixText;;
PAR_RTR_SENDISTWREG;Text;Istwert für Regelung zyklisch senden;Istwert für Regelung zyklisch senden
PAR_RTR_SENDISTWREG;SuffixText;;
PAR_RTR_ISTW_FEHLER;Text;Telegramm Istwertfehler;Telegramm Istwertfehler
PAR_RTR_ISTW_FEHLER;SuffixText;;
PAR_RTR_ISTW_TIMEOUT;Text;Überwachungszeit für ext. Istwert;Überwachungszeit für ext. Istwert
PAR_RTR_ISTW_TIMEOUT;SuffixText;;
PAR_RTR_ISTW_TIMEOUT_KL;Text;Überwachungszeit für ext. Istwert;Überwachungszeit für ext. Istwert
PAR_RTR_ISTW_TIMEOUT_KL;SuffixText;;
PAR_RTR_ISTW_REAKTIMEOUT;Text;Notprogramm bei Istwertausfall;Notprogramm bei Istwertausfall
PAR_RTR_ISTW_REAKTIMEOUT;SuffixText;;
PAR_RTR_RADPRES;Text;Bei Temperaturerhöhung am Stellrad;Bei Temperaturerhöhung am Stellrad
PAR_RTR_RADPRES;SuffixText;;
PAR_RTR_FCTTAST;Text;Funktion der Tasten;Funktion der Tasten
PAR_RTR_FCTTAST;SuffixText;;
PAR_RTR_FCTTASTALT;Text;Funktion der Tasten;Funktion der Tasten
PAR_RTR_FCTTASTALT;SuffixText;;
PAR_RTR_MAXANP;Text;Maximale Anpassung;Maximale Anpassung
PAR_RTR_MAXANP;SuffixText;;
PAR_RTR_MAXANPEMPF;Text;Maximale Anpassung;Maximale Anpassung
PAR_RTR_MAXANPEMPF;SuffixText;;
PAR_RTR_ZYKSNDBART;Text;Zyklisch Senden der aktuellen Betriebsart;Zyklisch Senden der aktuellen Betriebsart
PAR_RTR_ZYKSNDBART;SuffixText;;
PAR_RTR_ZYKSNDSOLL;Text;Zyklisch senden des aktuellen Sollwertes;Zyklisch senden des aktuellen Sollwertes
PAR_RTR_ZYKSNDSOLL;SuffixText;;
PAR_RTR_HYS2PKTH;Text;Hysterese des 2-Punkt Reglers;Hysterese des 2-Punkt Reglers
PAR_RTR_HYS2PKTH;SuffixText;;
PAR_RTR_RCKFHYS2PKTH;Text;Rückführung der Hysterese nach Schaltpunkt;Rückführung der Hysterese nach Schaltpunkt
PAR_RTR_RCKFHYS2PKTH;SuffixText;;
PAR_RTR_PBANDH;Text;Proportionalband des Heizungsreglers;Proportionalband des Heizungsreglers
PAR_RTR_PBANDH;SuffixText;;
PAR_RTR_IZEITH;Text;Integrierzeit des Heizungsreglers;Integrierzeit des Heizungsreglers
PAR_RTR_IZEITH;SuffixText;;
PAR_RTR_PBANDH_RADIATOR;Text;Proportionalband des Heizungsreglers;Proportionalband des Heizungsreglers
PAR_RTR_PBANDH_RADIATOR;SuffixText;;
PAR_RTR_IZEITH_RADIATOR;Text;Integrierzeit des Heizungsreglers;Integrierzeit des Heizungsreglers
PAR_RTR_IZEITH_RADIATOR;SuffixText;;
PAR_RTR_PBANDH_FUSSBOD;Text;Proportionalband des Heizungsreglers;Proportionalband des Heizungsreglers
PAR_RTR_PBANDH_FUSSBOD;SuffixText;;
PAR_RTR_IZEITH_FUSSBOD;Text;Integrierzeit des Heizungsreglers;Integrierzeit des Heizungsreglers
PAR_RTR_IZEITH_FUSSBOD;SuffixText;;
PAR_RTR_REGPARAMH;Text;Einstellung der Regelparameter;Einstellung der Regelparameter
PAR_RTR_REGPARAMH;SuffixText;;
PAR_RTR_ANLTYPH;Text;Anlagentyp;Anlagentyp
PAR_RTR_ANLTYPH;SuffixText;;
PAR_RTR_DELTASNDH;Text;Senden der Stellgröße Heizen;Senden der Stellgröße Heizen
PAR_RTR_DELTASNDH;SuffixText;;
